id,originalTitle,averageRating,isAdult,releaseDate,genres,grossWorldwide
tt2585562,Pizza,7.9,False,2012-10-19,"['Horror', 'Mystery', 'Thriller']",
tt11143108,Oh My Kadavule,8.0,False,2020-02-14,"['Comedy', 'Fantasy', 'Romance']",35668.0
tt1077248,Johnny Gaddaar,7.8,False,2007-09-28,"['Crime', 'Drama', 'Thriller']",1109943.0
tt3124456,Memories,8.0,False,2013-08-09,"['Crime', 'Mystery', 'Thriller']",
tt2187153,Thuppakki,8.1,False,2012-11-13,"['Action', 'Crime', 'Musical']",2130470.0
tt0051792,Jalsaghar,7.8,False,1958-10-10,"['Drama', 'Music']",3247.0
tt10717738,Anjaam Pathiraa,7.9,False,2020-01-17,"['Crime', 'Mystery', 'Thriller']",1106211.0
tt0824316,Dor,7.9,False,2006-09-22,['Drama'],517575.0
tt0323013,Lakshya,7.8,False,2004-06-18,"['Action', 'Drama', 'Romance']",5859242.0
tt5039054,Oopiri,8.0,False,2016-03-24,"['Comedy', 'Drama']",7124.0
tt2350496,The Lunchbox,7.8,False,2013-09-20,"['Drama', 'Romance']",11621785.0
tt4928620,Pathemari,8.3,False,2015-10-09,['Drama'],
tt11581174,Karnan,8.0,False,2021-04-09,"['Action', 'Drama']",3817585.0
tt0422320,Ghilli,8.2,False,2004-04-17,"['Action', 'Drama', 'Romance']",163961.0
tt3848892,Baby,7.9,False,2015-01-23,"['Action', 'Thriller']",11533057.0
tt28857146,Sapta Sagaradaache Ello: Side B,8.0,False,2023-11-17,"['Action', 'Drama', 'Romance']",36519.0
